2019/07/30 01:34:35 [error] 6#6: *7 open() "/var/www/html/suitecrm/themes/SuiteP/css/fontello.css" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/css/fontello.css HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 01:34:35 [error] 6#6: *3 open() "/var/www/html/suitecrm/themes/SuiteP/css/animation.css" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/css/animation.css HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 01:34:35 [error] 6#6: *6 open() "/var/www/html/suitecrm/themes/SuiteP/images/SuiteScreen1.png" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/images/SuiteScreen1.png HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 01:34:35 [error] 6#6: *5 open() "/var/www/html/suitecrm/themes/SuiteP/images/SuiteScreen2.png" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/images/SuiteScreen2.png HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 01:34:35 [error] 6#6: *7 open() "/var/www/html/suitecrm/themes/SuiteP/images/SuiteScreen3.png" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/images/SuiteScreen3.png HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 01:34:35 [error] 6#6: *3 open() "/var/www/html/suitecrm/themes/SuiteP/images/SuiteScreen4.png" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/images/SuiteScreen4.png HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 02:08:12 [error] 6#6: *3 open() "/var/www/html/suitecrm/themes/SuiteP/js/responsiveslides.min.js" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/js/responsiveslides.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 02:08:12 [error] 6#6: *3 open() "/var/www/html/suitecrm/themes/SuiteP/css/responsiveslides.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/css/responsiveslides.css HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 02:08:12 [error] 6#6: *3 open() "/var/www/html/suitecrm/themes/SuiteP/css/themes.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/css/themes.css HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 02:08:13 [error] 6#6: *1 open() "/var/www/html/suitecrm/themes/SuiteP/css/fontello.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/css/fontello.css HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
2019/07/30 02:08:13 [error] 6#6: *5 open() "/var/www/html/suitecrm/themes/SuiteP/css/animation.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /suitecrm/themes/SuiteP/css/animation.css HTTP/1.1", host: "localhost", referrer: "http://localhost/suitecrm/install.php"
